time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
46.0,0.752407,0.99334,0.0440716,0.99334,123784,135720,359.907,373.782,393.496,49.4328,49.0912,5776.37,5427.55,8.51251,5.7773,6.82601,0.979027,0.978436,205.888,118.248,5.7773,6.82601,143214
48.0,0.752926,0.991181,0.0440202,0.991181,124181,135070,360.018,373.873,393.316,49.5669,48.6315,5833.2,5427.55,8.51251,5.80224,6.75084,0.979015,0.978438,202.145,118.963,5.80224,6.75084,142549
50.0,0.753118,0.989243,0.043984,0.989243,124305,134538,360.052,374.015,393.167,49.6645,48.1646,5875.58,5427.55,8.51251,5.81656,6.67663,0.979002,0.978442,195.564,119.377,5.81656,6.67663,142003
52.0,0.752904,0.987646,0.0439675,0.987646,124100,134175,359.996,374.161,393.066,49.6978,47.734,5894.08,5427.55,8.51251,5.81565,6.61022,0.978988,0.978445,187.374,119.358,5.81565,6.61022,141630
54.0,0.752348,0.986417,0.0439461,0.986417,123627,133993,359.864,374.273,393.015,49.6499,47.3654,5883.25,5427.55,8.51251,5.79891,6.55522,0.978975,0.978443,180.19,118.908,5.79891,6.55522,141439
56.0,0.751591,0.985487,0.0439114,0.985487,123007,133958,359.691,374.323,393.005,49.5323,47.0653,5847.97,5427.55,8.51251,5.77059,6.51197,0.978961,0.978435,175.692,118.145,5.77059,6.51197,141397
58.0,0.750785,0.984752,0.0438618,0.984752,122363,134013,359.511,374.306,393.02,49.3729,46.8214,5798.63,5427.55,8.51251,5.73697,6.4779,0.978948,0.978422,174.134,117.245,5.73697,6.4779,141447
60.0,0.75006,0.984072,0.0437981,0.984072,121798,134090,359.352,374.231,393.041,49.2018,46.6134,5746.12,5427.55,8.51251,5.70394,6.44914,0.978935,0.978407,174.959,116.373,5.70394,6.44914,141518
62.0,0.749589,0.983326,0.0437303,0.983326,121442,134124,359.252,374.143,393.049,49.0447,46.414,5699.48,5418.5,0,5.67749,6.42094,0.978921,0.978393,179.882,115.684,5.67749,6.42094,141546
64.0,0.749379,0.982415,0.0436649,0.982415,121296,134066,359.211,374.074,393.033,48.9369,46.1982,5670.71,5409.46,0,5.66158,6.38917,0.978906,0.978382,184.218,115.317,5.66158,6.38917,141482
66.0,0.749374,0.981272,0.0436099,0.981272,121307,133895,359.214,374.044,392.984,48.8803,45.9456,5660.09,5400.41,0,5.65531,6.35064,0.978889,0.978377,188.11,115.2,5.65531,6.35064,141302
68.0,0.749535,0.979902,0.0435724,0.979902,121445,133617,359.254,374.076,392.907,48.8644,45.6423,5663.41,5391.37,0,5.65664,6.30359,0.97887,0.97838,191.362,115.296,5.65664,6.30359,141015
70.0,0.74978,0.978303,0.0435514,0.978303,121639,133269,359.309,374.166,392.809,48.8821,45.288,5678.08,5382.32,0,5.66318,6.2484,0.978849,0.978393,192.814,115.539,5.66318,6.2484,140656
72.0,0.749995,0.976454,0.0435478,0.976454,121801,132897,359.355,374.312,392.706,48.9168,44.8814,5698.04,5373.27,0,5.67097,6.1855,0.978826,0.978418,192.155,115.809,5.67097,6.1855,140272
74.0,0.750104,0.974309,0.0435602,0.974309,121873,132550,359.376,374.508,392.609,48.9465,44.4176,5715.52,5364.23,0,5.67605,6.11469,0.978803,0.978458,189.924,115.998,5.67605,6.11469,139909
76.0,0.750062,0.971845,0.0435768,0.971845,121822,132262,359.362,374.725,392.53,48.9552,43.886,5725.12,5355.18,0,5.67587,6.03495,0.978778,0.978513,186.782,116.038,5.67587,6.03495,139603
78.0,0.749856,0.969064,0.0435966,0.969064,121641,132049,359.312,374.943,392.473,48.9339,43.2806,5723.83,5346.14,0,5.6692,5.94565,0.978752,0.978583,183.214,115.897,5.6692,5.94565,139370
80.0,0.749515,0.965965,0.0436101,0.965965,121359,131910,359.232,375.148,392.438,48.8794,42.6009,5710.84,5337.09,0,5.65631,5.84672,0.978727,0.978667,180.224,115.583,5.65631,5.84672,139208
82.0,0.74911,0.962569,0.0436157,0.962569,121033,131829,359.14,375.335,392.419,48.7972,41.845,5688.36,5328.04,0,5.63922,5.73776,0.978702,0.978764,178.553,115.157,5.63922,5.73776,139101
84.0,0.748695,0.958898,0.0436121,0.958898,120706,131777,359.048,375.5,392.409,48.7011,41.0162,5661.41,5319,0,5.62055,5.61896,0.978676,0.978872,177.862,114.694,5.62055,5.61896,139021
86.0,0.748332,0.954897,0.0436015,0.954897,120427,131726,358.969,375.656,392.4,48.6021,40.1176,5633.92,5309.95,0,5.60266,5.49042,0.97865,0.978992,178.723,114.246,5.60266,5.49042,138940
88.0,0.748124,0.950592,0.0435885,0.950592,120274,131656,358.926,375.819,392.386,48.5123,39.1372,5610.08,5300.91,0,5.58877,5.35036,0.978622,0.979124,181.465,113.927,5.58877,5.35036,138838
90.0,0.748005,0.946108,0.0435764,0.946108,120192,131550,358.904,375.996,392.363,48.4528,38.0787,5597.11,5291.86,0,5.58001,5.19937,0.978594,0.979263,182.56,113.756,5.58001,5.19937,138699
92.0,0.747944,0.941434,0.0435686,0.941434,120156,131403,358.894,376.198,392.327,48.4106,36.9664,5590.24,5282.81,0,5.5743,5.04075,0.978564,0.97941,183.643,113.655,5.5743,5.04075,138516
94.0,0.747915,0.93666,0.0435679,0.93666,120143,131220,358.891,376.432,392.282,48.38,35.7973,5587.3,5273.77,0,5.57045,4.87436,0.978533,0.979563,183.954,113.61,5.57045,4.87436,138298
96.0,0.747881,0.931841,0.0435742,0.931841,120125,131017,358.886,376.694,392.232,48.3554,34.5893,5586.38,5264.72,0,5.5672,4.70288,0.9785,0.97972,183.685,113.578,5.5672,4.70288,138059
98.0,0.747827,0.92704,0.0435863,0.92704,120090,130812,358.877,376.981,392.181,48.33,33.353,5585.05,5255.68,0,5.56345,4.52804,0.978467,0.97988,182.961,113.534,5.56345,4.52804,137818
100.0,0.747714,0.922304,0.0436011,0.922304,120009,130622,358.855,377.281,392.134,48.3003,32.101,5582.12,5246.63,0,5.55814,4.35175,0.978433,0.980042,181.552,113.441,5.55814,4.35175,137593
102.0,0.747547,0.917668,0.0436164,0.917668,119887,130457,358.821,377.587,392.094,48.2586,30.8431,5574.98,5237.58,0,5.55053,4.17544,0.978398,0.980205,180.117,113.286,5.55053,4.17544,137393
104.0,0.747325,0.91315,0.04363,0.91315,119725,130318,358.775,377.892,392.062,48.2057,29.5867,5564.05,5228.54,0,5.54071,4.0001,0.978362,0.980368,178.744,113.066,5.54071,4.0001,137220
106.0,0.747072,0.908754,0.0436408,0.908754,119542,130202,358.723,378.19,392.036,48.1414,28.3358,5549.27,5219.49,0,5.52909,3.82623,0.978326,0.980531,177.733,112.799,5.52909,3.82623,137072
108.0,0.746788,0.904475,0.043648,0.904475,119339,130100,358.666,378.48,392.014,48.0701,27.0917,5532.33,5210.45,0,5.51624,3.65388,0.978289,0.980694,176.817,112.494,5.51624,3.65388,136937
110.0,0.746529,0.900291,0.043653,0.900291,119160,130001,358.616,378.768,391.993,47.992,25.8538,5513.3,5201.4,0,5.50317,3.48286,0.978251,0.980857,176.85,112.192,5.50317,3.48286,136807
112.0,0.746316,0.896148,0.0436567,0.896148,119021,129896,358.576,379.058,391.971,47.9182,24.6183,5496.12,5192.36,0,5.49151,3.31254,0.978212,0.981021,177.531,111.924,5.49151,3.31254,136670
114.0,0.746138,0.8921,0.0436605,0.8921,118912,129779,358.546,379.35,391.945,47.8528,23.3744,5482.11,5183.31,0,5.48152,3.14147,0.978172,0.981186,177.621,111.715,5.48152,3.14147,136523
116.0,0.745969,0.888113,0.0436648,0.888113,118812,129646,358.518,379.649,391.914,47.7942,22.1333,5470.63,5174.26,0,5.47249,2.9711,0.978131,0.98135,177.603,111.518,5.47249,2.9711,136360
118.0,0.745819,0.88419,0.0436708,0.88419,118728,129499,358.495,379.955,391.879,47.7368,20.8885,5459.69,5165.22,0,5.46398,2.8006,0.978088,0.981515,177.57,111.343,5.46398,2.8006,136184
120.0,0.745671,0.880339,0.0436778,0.880339,118647,129342,358.472,380.268,391.842,47.6827,19.6406,5450.07,5156.17,0,5.45593,2.63009,0.978044,0.981681,177.339,111.176,5.45593,2.63009,135999
122.0,0.745526,0.876577,0.0436867,0.876577,118570,129183,358.451,380.586,391.803,47.6286,18.3919,5440.55,5147.13,0,5.44796,2.4599,0.977998,0.981845,176.982,111.015,5.44796,2.4599,135812
124.0,0.745358,0.872909,0.0436964,0.872909,118477,129027,358.425,380.904,391.766,47.5747,17.1459,5431.23,5138.08,0,5.43965,2.29054,0.977951,0.98201,176.202,110.841,5.43965,2.29054,135628
126.0,0.745177,0.869344,0.0437061,0.869344,118375,128879,358.397,381.219,391.731,47.5159,15.9041,5420.33,5129.03,0,5.4306,2.12221,0.977903,0.982173,175.577,110.646,5.4306,2.12221,135453
